motif	human_ensembl_gene_id	mouse_ensembl_gene_id	mouse_gene_name
Herc3	ENSG00000138641	ENSMUSG00000029804	Herc3
Herpud1	ENSG00000051108	ENSMUSG00000031770	Herpud1
Hfm1	ENSG00000162669	ENSMUSG00000043410	Hfm1
Hgf	ENSG00000019991	ENSMUSG00000028864	Hgf
Hgsnat	ENSG00000165102	ENSMUSG00000037260	Hgsnat
Hhip	ENSG00000164161	ENSMUSG00000064325	Hhip
Hibadh	ENSG00000106049	ENSMUSG00000029776	Hibadh
Hibch	ENSG00000198130	ENSMUSG00000041426	Hibch
Higd1a	ENSG00000181061	ENSMUSG00000038412	Higd1a
Hint1	ENSG00000169567	ENSMUSG00000020267	Hint1
Hip1	ENSG00000127946	ENSMUSG00000039959	Hip1
Hipk2	ENSG00000064393	ENSMUSG00000061436	Hipk2
Hipk3	ENSG00000110422	ENSMUSG00000027177	Hipk3
Hirip3	ENSG00000149929	ENSMUSG00000042606	Hirip3
Hivep2	ENSG00000010818	ENSMUSG00000015501	Hivep2
Hjurp	ENSG00000123485	ENSMUSG00000044783	Hjurp
Hk2	ENSG00000159399	ENSMUSG00000000628	Hk2
Hlcs	ENSG00000159267	ENSMUSG00000040820	Hlcs
Hmcn1	ENSG00000143341	ENSMUSG00000066842	Hmcn1
Hmga2	ENSG00000149948	ENSMUSG00000056758	Hmga2
Hmgb1	NA	ENSMUSG00000066551	Hmgb1
Hmgb2	ENSG00000164104	ENSMUSG00000054717	Hmgb2
Hmgcll1	ENSG00000146151	ENSMUSG00000007908	Hmgcll1
Hmgcr	ENSG00000113161	ENSMUSG00000021670	Hmgcr
Hmgcs1	ENSG00000112972	ENSMUSG00000093930	Hmgcs1
Hmgn1	ENSG00000205581	ENSMUSG00000040681	Hmgn1
Hmgn2	NA	ENSMUSG00000003038	Hmgn2
Hmgn3	ENSG00000118418	ENSMUSG00000066456	Hmgn3
Hmgn5	ENSG00000198157	ENSMUSG00000031245	Hmgn5
Hmmr	ENSG00000072571	ENSMUSG00000020330	Hmmr
Hnrnpa0	ENSG00000177733	ENSMUSG00000007836	Hnrnpa0
Hnrnpa1	ENSG00000135486	ENSMUSG00000046434	Hnrnpa1
Hnrnpa3	ENSG00000170144	ENSMUSG00000059005	Hnrnpa3
Hnrnpab	ENSG00000197451	ENSMUSG00000020358	Hnrnpab
Hnrnpdl	ENSG00000152795	ENSMUSG00000029328	Hnrnpdl
Hnrnpf	ENSG00000169813	ENSMUSG00000042079	Hnrnpf
Hnrnph1	ENSG00000169045	ENSMUSG00000007850	Hnrnph1
Hnrnpk	ENSG00000165119	ENSMUSG00000021546	Hnrnpk
Hnrnpll	ENSG00000143889	ENSMUSG00000024095	Hnrnpll
Hnrnpu	ENSG00000153187	ENSMUSG00000039630	Hnrnpu
Homer1	ENSG00000152413	ENSMUSG00000007617	Homer1
Hook1	ENSG00000134709	ENSMUSG00000028572	Hook1
Hook2	ENSG00000095066	ENSMUSG00000052566	Hook2
Hotair	NA	ENSMUSG00000086903	Hotair
Hoxa11os	NA	ENSMUSG00000086427	Hoxa11os
Hoxaas2	NA	ENSMUSG00000056445	Hoxaas2
Hoxc5	ENSG00000172789	ENSMUSG00000022485	Hoxc5
Hpf1	ENSG00000056050	ENSMUSG00000038005	Hpf1
Hpgd	ENSG00000164120	ENSMUSG00000031613	Hpgd
Hpse2	ENSG00000172987	ENSMUSG00000074852	Hpse2
Hs3st3a1	ENSG00000153976	ENSMUSG00000047759	Hs3st3a1
Hs3st3b1	ENSG00000125430	ENSMUSG00000070407	Hs3st3b1
Hs3st4	ENSG00000182601	ENSMUSG00000078591	Hs3st4
Hs3st5	ENSG00000249853	ENSMUSG00000044499	Hs3st5
Hs6st2	ENSG00000171004	ENSMUSG00000062184	Hs6st2
Hs6st3	ENSG00000185352	ENSMUSG00000053465	Hs6st3
Hsbp1	ENSG00000230989	ENSMUSG00000031839	Hsbp1
Hsd11b2	ENSG00000176387	ENSMUSG00000031891	Hsd11b2
Hsd17b12	ENSG00000149084	ENSMUSG00000027195	Hsd17b12
Hsd17b7	ENSG00000132196	ENSMUSG00000026675	Hsd17b7
Hsf5	ENSG00000176160	ENSMUSG00000070345	Hsf5
Htatsf1	ENSG00000102241	ENSMUSG00000067873	Htatsf1
Hunk	ENSG00000142149	ENSMUSG00000053414	Hunk
Hyal2	ENSG00000068001	ENSMUSG00000010047	Hyal2
Hyou1	ENSG00000149428	ENSMUSG00000032115	Hyou1
Hypk	ENSG00000242028	ENSMUSG00000027245	Hypk
Ica1	ENSG00000003147	ENSMUSG00000062995	Ica1
Ice1	ENSG00000164151	ENSMUSG00000034525	Ice1
Ice2	ENSG00000128915	ENSMUSG00000032235	Ice2
Id1	ENSG00000125968	ENSMUSG00000042745	Id1
Id2	ENSG00000115738	ENSMUSG00000020644	Id2
Id3	ENSG00000117318	ENSMUSG00000007872	Id3
Ide	ENSG00000119912	ENSMUSG00000056999	Ide
Idh1	ENSG00000138413	ENSMUSG00000025950	Idh1
Idh2	ENSG00000182054	ENSMUSG00000030541	Idh2
Idh3g	ENSG00000067829	ENSMUSG00000002010	Idh3g
Idi1	ENSG00000067064	ENSMUSG00000058258	Idi1
Ifngr1	ENSG00000027697	ENSMUSG00000020009	Ifngr1
Ifngr2	ENSG00000159128	ENSMUSG00000022965	Ifngr2
Ifrd1	ENSG00000006652	ENSMUSG00000001627	Ifrd1
Ift20	ENSG00000109083	ENSMUSG00000001105	Ift20
Igbp1	ENSG00000089289	ENSMUSG00000031221	Igbp1
Igdcc3	ENSG00000174498	ENSMUSG00000032394	Igdcc3
Igdcc4	ENSG00000103742	ENSMUSG00000032816	Igdcc4
Igf1	ENSG00000017427	ENSMUSG00000020053	Igf1
Igf2	ENSG00000167244	ENSMUSG00000048583	Igf2
Igf2bp1	ENSG00000159217	ENSMUSG00000013415	Igf2bp1
Igf2bp3	ENSG00000136231	ENSMUSG00000029814	Igf2bp3
Igfbp2	ENSG00000115457	ENSMUSG00000039323	Igfbp2
Igfbp3	ENSG00000146674	ENSMUSG00000020427	Igfbp3
Igfbp4	ENSG00000141753	ENSMUSG00000017493	Igfbp4
Igfbp5	ENSG00000115461	ENSMUSG00000026185	Igfbp5
Igsf10	ENSG00000152580	ENSMUSG00000036334	Igsf10
Igsf11	ENSG00000144847	ENSMUSG00000022790	Igsf11
Ikzf2	ENSG00000030419	ENSMUSG00000025997	Ikzf2
Il11ra1	ENSG00000137070	ENSMUSG00000073889	Il11ra1
Il17rd	ENSG00000144730	ENSMUSG00000040717	Il17rd
Il1rap	ENSG00000196083	ENSMUSG00000022514	Il1rap
Il1rapl1	ENSG00000169306	ENSMUSG00000052372	Il1rapl1
Il1rapl2	ENSG00000189108	ENSMUSG00000059203	Il1rapl2
Il33	ENSG00000137033	ENSMUSG00000024810	Il33
Ilkap	ENSG00000132323	ENSMUSG00000026309	Ilkap
Immp2l	ENSG00000184903	ENSMUSG00000056899	Immp2l
Impact	ENSG00000154059	ENSMUSG00000024423	Impact
Impdh2	ENSG00000178035	ENSMUSG00000062867	Impdh2
Incenp	ENSG00000149503	ENSMUSG00000024660	Incenp
Ing1	ENSG00000153487	ENSMUSG00000045969	Ing1
Inip	ENSG00000148153	ENSMUSG00000038544	Inip
Inpp4b	ENSG00000109452	ENSMUSG00000037940	Inpp4b
Inpp5k	ENSG00000132376	ENSMUSG00000006127	Inpp5k
Insig1	ENSG00000186480	ENSMUSG00000045294	Insig1
Ints1	ENSG00000164880	ENSMUSG00000029547	Ints1
Ints6	ENSG00000102786	ENSMUSG00000035161	Ints6
Invs	ENSG00000119509	ENSMUSG00000028344	Invs
Ip6k1	ENSG00000176095	ENSMUSG00000032594	Ip6k1
Ipo5	ENSG00000065150	ENSMUSG00000030662	Ipo5
Ipp	ENSG00000197429	ENSMUSG00000028696	Ipp
Iqcb1	ENSG00000173226	ENSMUSG00000022837	Iqcb1
Iqce	NA	ENSMUSG00000036555	Iqce
Iqgap2	ENSG00000145703	ENSMUSG00000021676	Iqgap2
Iqsec1	ENSG00000144711	ENSMUSG00000034312	Iqsec1
Iqsec2	ENSG00000124313	ENSMUSG00000041115	Iqsec2
Irak1	ENSG00000184216	ENSMUSG00000031392	Irak1
Irs1	ENSG00000169047	ENSMUSG00000055980	Irs1
Irs2	ENSG00000185950	ENSMUSG00000038894	Irs2
Irx3	ENSG00000177508	ENSMUSG00000031734	Irx3
Irx5	ENSG00000176842	ENSMUSG00000031737	Irx5
Ism1	ENSG00000101230	ENSMUSG00000074766	Ism1
Itga1	ENSG00000213949	ENSMUSG00000042284	Itga1
Itga10	ENSG00000143127	ENSMUSG00000090210	Itga10
Itga11	ENSG00000137809	ENSMUSG00000032243	Itga11
Itga4	ENSG00000115232	ENSMUSG00000027009	Itga4
Itga6	ENSG00000091409	ENSMUSG00000027111	Itga6
Itga8	ENSG00000077943	ENSMUSG00000026768	Itga8
Itga9	ENSG00000144668	ENSMUSG00000039115	Itga9
Itgae	ENSG00000083457	ENSMUSG00000005947	Itgae
Itgav	ENSG00000138448	ENSMUSG00000027087	Itgav
Itgb8	ENSG00000105855	ENSMUSG00000025321	Itgb8
Itih5	ENSG00000123243	ENSMUSG00000025780	Itih5
Itm2a	ENSG00000078596	ENSMUSG00000031239	Itm2a
Itm2b	ENSG00000136156	ENSMUSG00000022108	Itm2b
Itpk1	ENSG00000100605	ENSMUSG00000057963	Itpk1
Itpr1	ENSG00000150995	ENSMUSG00000030102	Itpr1
Itpr2	ENSG00000123104	ENSMUSG00000030287	Itpr2
Itsn2	ENSG00000198399	ENSMUSG00000020640	Itsn2
Ivns1abp	ENSG00000116679	ENSMUSG00000023150	Ivns1abp
Jade1	ENSG00000077684	ENSMUSG00000025764	Jade1
Jade3	ENSG00000102221	ENSMUSG00000037315	Jade3
Jag1	ENSG00000101384	ENSMUSG00000027276	Jag1
Jag2	ENSG00000184916	ENSMUSG00000002799	Jag2
Jakmip2	ENSG00000176049	ENSMUSG00000024502	Jakmip2
Jarid2	ENSG00000008083	ENSMUSG00000038518	Jarid2
Jazf1	ENSG00000153814	ENSMUSG00000063568	Jazf1
Jkamp	ENSG00000050130	ENSMUSG00000005078	Jkamp
Jmjd1c	ENSG00000171988	ENSMUSG00000037876	Jmjd1c
Jmjd6	ENSG00000070495	ENSMUSG00000056962	Jmjd6
Jph1	ENSG00000104369	ENSMUSG00000042686	Jph1
Junos	NA	ENSMUSG00000087366	Junos
Kalrn	ENSG00000160145	ENSMUSG00000061751	Kalrn
Kank1	ENSG00000107104	ENSMUSG00000032702	Kank1
Kank4	ENSG00000132854	ENSMUSG00000035407	Kank4
Kansl1l	ENSG00000144445	ENSMUSG00000026004	Kansl1l
Kat2a	ENSG00000108773	ENSMUSG00000020918	Kat2a
Kat2b	ENSG00000114166	ENSMUSG00000000708	Kat2b
Kat6b	ENSG00000156650	ENSMUSG00000021767	Kat6b
Katnal2	ENSG00000167216	ENSMUSG00000025420	Katnal2
Katnbl1	ENSG00000134152	ENSMUSG00000027132	Katnbl1
Kazn	ENSG00000189337	ENSMUSG00000040606	Kazn
Kcnab1	ENSG00000169282	ENSMUSG00000027827	Kcnab1
Kcnb2	NA	ENSMUSG00000092083	Kcnb2
Kcnd2	ENSG00000184408	ENSMUSG00000060882	Kcnd2
Kcnd3	ENSG00000171385	ENSMUSG00000040896	Kcnd3
Kcnh1	ENSG00000143473	ENSMUSG00000058248	Kcnh1
Kcnh7	ENSG00000184611	ENSMUSG00000059742	Kcnh7
Kcnip1	ENSG00000182132	ENSMUSG00000053519	Kcnip1
Kcnip4	ENSG00000185774	ENSMUSG00000029088	Kcnip4
Kcnj3	ENSG00000162989	ENSMUSG00000026824	Kcnj3
Kcnk2	ENSG00000082482	ENSMUSG00000037624	Kcnk2
Kcnma1	ENSG00000156113	ENSMUSG00000063142	Kcnma1
Kcnmb2	ENSG00000197584	ENSMUSG00000037610	Kcnmb2
Kcnmb4	ENSG00000135643	ENSMUSG00000054934	Kcnmb4
Kcnn2	ENSG00000080709	ENSMUSG00000054477	Kcnn2
Kcnq1	ENSG00000053918	ENSMUSG00000009545	Kcnq1
Kcnq1ot1	NA	ENSMUSG00000101609	Kcnq1ot1
Kcnq3	ENSG00000184156	ENSMUSG00000056258	Kcnq3
Kcnq5	ENSG00000185760	ENSMUSG00000028033	Kcnq5
Kcnt2	ENSG00000162687	ENSMUSG00000052726	Kcnt2
Kctd1	ENSG00000134504	ENSMUSG00000036225	Kctd1
Kctd16	ENSG00000183775	ENSMUSG00000051401	Kctd16
Kctd8	ENSG00000183783	ENSMUSG00000037653	Kctd8
Kdelr1	ENSG00000105438	ENSMUSG00000002778	Kdelr1
Kdelr2	ENSG00000136240	ENSMUSG00000079111	Kdelr2
Kdm2b	ENSG00000089094	ENSMUSG00000029475	Kdm2b
Kdm3a	ENSG00000115548	ENSMUSG00000053470	Kdm3a
Kdm5d	ENSG00000012817	ENSMUSG00000056673	Kdm5d
Kdm6a	ENSG00000147050	ENSMUSG00000037369	Kdm6a
Kdm7a	ENSG00000006459	ENSMUSG00000042599	Kdm7a
Khdrbs2	ENSG00000112232	ENSMUSG00000026058	Khdrbs2
Khdrbs3	ENSG00000131773	ENSMUSG00000022332	Khdrbs3
Kidins220	ENSG00000134313	ENSMUSG00000036333	Kidins220
Kif11	ENSG00000138160	ENSMUSG00000012443	Kif11
Kif13b	ENSG00000197892	ENSMUSG00000060012	Kif13b
Kif15	ENSG00000163808	ENSMUSG00000036768	Kif15
Kif16b	NA	ENSMUSG00000038844	Kif16b
Kif18a	ENSG00000121621	ENSMUSG00000027115	Kif18a
Kif20a	ENSG00000112984	ENSMUSG00000003779	Kif20a
Kif20b	ENSG00000138182	ENSMUSG00000024795	Kif20b
Kif21a	ENSG00000139116	ENSMUSG00000022629	Kif21a
Kif22	ENSG00000079616	ENSMUSG00000030677	Kif22
Kif23	ENSG00000137807	ENSMUSG00000032254	Kif23
Kif26b	ENSG00000162849	ENSMUSG00000026494	Kif26b
Kif2c	ENSG00000142945	ENSMUSG00000028678	Kif2c
Kif4	ENSG00000090889	ENSMUSG00000034311	Kif4
Kif5c	ENSG00000168280	ENSMUSG00000026764	Kif5c
Kif6	ENSG00000164627	ENSMUSG00000023999	Kif6
Kifap3	ENSG00000075945	ENSMUSG00000026585	Kifap3
Kifc1	ENSG00000237649	ENSMUSG00000079553	Kifc1
Kifc5b	ENSG00000237649	ENSMUSG00000024301	Kifc5b
Kin	ENSG00000151657	ENSMUSG00000037262	Kin
Kirrel3	ENSG00000149571	ENSMUSG00000032036	Kirrel3
Kit	ENSG00000157404	ENSMUSG00000005672	Kit
Kitl	ENSG00000049130	ENSMUSG00000019966	Kitl
Kiz	ENSG00000088970	ENSMUSG00000074749	Kiz
Klc1	ENSG00000126214	ENSMUSG00000021288	Klc1
Klf7	ENSG00000118263	ENSMUSG00000025959	Klf7
Klf8	ENSG00000102349	ENSMUSG00000041649	Klf8
Klhdc10	ENSG00000128607	ENSMUSG00000029775	Klhdc10
Klhl13	ENSG00000003096	ENSMUSG00000036782	Klhl13
Klhl17	ENSG00000187961	ENSMUSG00002076083	Klhl17
Klhl23	ENSG00000213160	ENSMUSG00000042155	Klhl23
Klhl29	ENSG00000119771	ENSMUSG00000020627	Klhl29
Klhl32	ENSG00000186231	ENSMUSG00000040387	Klhl32
Klhl5	ENSG00000109790	ENSMUSG00000054920	Klhl5
Klhl7	ENSG00000122550	ENSMUSG00000028986	Klhl7
Kmt2b	ENSG00000272333	ENSMUSG00000006307	Kmt2b
Kmt2e	ENSG00000005483	ENSMUSG00000029004	Kmt2e
Knop1	ENSG00000103550	ENSMUSG00000030980	Knop1
Knstrn	ENSG00000128944	ENSMUSG00000027331	Knstrn
Kntc1	ENSG00000184445	ENSMUSG00000029414	Kntc1
Kpna3	ENSG00000102753	ENSMUSG00000021929	Kpna3
Kpnb1	ENSG00000108424	ENSMUSG00000001440	Kpnb1
Kras	ENSG00000133703	ENSMUSG00000030265	Kras
Krr1	ENSG00000111615	ENSMUSG00000063334	Krr1
Krtcap2	ENSG00000163463	ENSMUSG00000042747	Krtcap2
L3mbtl3	ENSG00000198945	ENSMUSG00000039089	L3mbtl3
Lage3	ENSG00000196976	ENSMUSG00000015289	Lage3
Lama1	ENSG00000101680	ENSMUSG00000032796	Lama1
Lama2	ENSG00000196569	ENSMUSG00000019899	Lama2
Lama4	ENSG00000112769	ENSMUSG00000019846	Lama4
Lamb1	ENSG00000091136	ENSMUSG00000002900	Lamb1
Lamb2	ENSG00000172037	ENSMUSG00000052911	Lamb2
Lamb3	ENSG00000196878	ENSMUSG00000026639	Lamb3
Lamc2	ENSG00000058085	ENSMUSG00000026479	Lamc2
Lamp1	ENSG00000185896	ENSMUSG00000031447	Lamp1
Lancl2	ENSG00000132434	ENSMUSG00000062190	Lancl2
Laptm4b	ENSG00000104341	ENSMUSG00000022257	Laptm4b
Larp4	ENSG00000161813	ENSMUSG00000023025	Larp4
Larp7	ENSG00000174720	ENSMUSG00000027968	Larp7
Lbr	ENSG00000143815	ENSMUSG00000004880	Lbr
Lcorl	ENSG00000178177	ENSMUSG00000015882	Lcorl
Ldb2	ENSG00000169744	ENSMUSG00000039706	Ldb2
Ldha	NA	ENSMUSG00000063229	Ldha
Ldhb	ENSG00000111716	ENSMUSG00000030246	Ldhb
Ldlr	ENSG00000130164	ENSMUSG00000032193	Ldlr
Ldlrad4	ENSG00000168675	ENSMUSG00000024544	Ldlrad4
Lekr1	ENSG00000197980	ENSMUSG00000074579	Lekr1
Lepr	ENSG00000116678	ENSMUSG00000057722	Lepr
Leprot	ENSG00000213625	ENSMUSG00000035212	Leprot
Lgals1	ENSG00000100097	ENSMUSG00000068220	Lgals1
Lgi1	ENSG00000108231	ENSMUSG00000067242	Lgi1
Lgi2	ENSG00000153012	ENSMUSG00000039252	Lgi2
Lgr4	ENSG00000205213	ENSMUSG00000050199	Lgr4
Lgr5	ENSG00000139292	ENSMUSG00000020140	Lgr5
Lhfpl2	ENSG00000145685	ENSMUSG00000045312	Lhfpl2
Lhfpl3	ENSG00000187416	ENSMUSG00000106379	Lhfpl3
Lig1	ENSG00000105486	ENSMUSG00000056394	Lig1
Lima1	ENSG00000050405	ENSMUSG00000023022	Lima1
Limch1	ENSG00000064042	ENSMUSG00000037736	Limch1
Limd1	ENSG00000144791	ENSMUSG00000025239	Limd1
Lin28a	ENSG00000131914	ENSMUSG00000050966	Lin28a
Lin28b	ENSG00000187772	ENSMUSG00000063804	Lin28b
Lin7a	ENSG00000111052	ENSMUSG00000019906	Lin7a
Lingo2	ENSG00000174482	ENSMUSG00000045083	Lingo2
Liph	ENSG00000163898	ENSMUSG00000044626	Liph
Lix1	ENSG00000145721	ENSMUSG00000047786	Lix1
Lman1	ENSG00000074695	ENSMUSG00000041891	Lman1
Lman2	ENSG00000169223	ENSMUSG00000021484	Lman2
Lmbr1l	ENSG00000139636	ENSMUSG00000022999	Lmbr1l
Lmo1	ENSG00000166407	ENSMUSG00000036111	Lmo1
Lmo2	ENSG00000135363	ENSMUSG00000032698	Lmo2
Lmo3	ENSG00000048540	ENSMUSG00000030226	Lmo3
Lmo4	ENSG00000143013	ENSMUSG00000028266	Lmo4
Lmo7	ENSG00000136153	ENSMUSG00000033060	Lmo7
Lnpep	ENSG00000113441	ENSMUSG00000023845	Lnpep
Lnx1	ENSG00000072201	ENSMUSG00000029228	Lnx1
Lockd	NA	ENSMUSG00000098318	Lockd
Loxl1	ENSG00000129038	ENSMUSG00000032334	Loxl1
Lpar1	ENSG00000198121	ENSMUSG00000038668	Lpar1
Lpar4	ENSG00000147145	ENSMUSG00000049929	Lpar4
Lpar6	ENSG00000139679	ENSMUSG00000033446	Lpar6
Lpcat2	ENSG00000087253	ENSMUSG00000033192	Lpcat2
Lpgat1	ENSG00000123684	ENSMUSG00000026623	Lpgat1
Lpin1	ENSG00000134324	ENSMUSG00000020593	Lpin1
Lpl	ENSG00000175445	ENSMUSG00000015568	Lpl
Lpp	ENSG00000145012	ENSMUSG00000033306	Lpp
Lrba	ENSG00000198589	ENSMUSG00000028080	Lrba
Lrch1	ENSG00000136141	ENSMUSG00000068015	Lrch1
Lrch2	ENSG00000130224	ENSMUSG00000031290	Lrch2
Lrfn4	ENSG00000173621	ENSMUSG00000045045	Lrfn4
Lrfn5	ENSG00000165379	ENSMUSG00000035653	Lrfn5
Lrif1	ENSG00000121931	ENSMUSG00000056260	Lrif1
Lrig1	ENSG00000144749	ENSMUSG00000030029	Lrig1
Lrig3	ENSG00000139263	ENSMUSG00000020105	Lrig3
Lrp12	ENSG00000147650	ENSMUSG00000022305	Lrp12
Lrp1b	ENSG00000168702	ENSMUSG00000049252	Lrp1b
Lrp3	ENSG00000130881	ENSMUSG00000001802	Lrp3
Lrp4	ENSG00000134569	ENSMUSG00000027253	Lrp4
Lrp8	ENSG00000157193	ENSMUSG00000028613	Lrp8
Lrrc17	ENSG00000128606	ENSMUSG00000039883	Lrrc17
Lrrc20	ENSG00000172731	ENSMUSG00000037151	Lrrc20
Lrrc3b	ENSG00000179796	ENSMUSG00000045201	Lrrc3b
Lrrc42	ENSG00000116212	ENSMUSG00000028617	Lrrc42
Lrrc4c	ENSG00000148948	ENSMUSG00000050587	Lrrc4c
Lrrc58	ENSG00000163428	ENSMUSG00000034158	Lrrc58
Lrrc59	ENSG00000108829	ENSMUSG00000020869	Lrrc59
Lrrc7	ENSG00000033122	ENSMUSG00000028176	Lrrc7
Lrrc8b	ENSG00000197147	ENSMUSG00000070639	Lrrc8b
Lrrc8c	ENSG00000171488	ENSMUSG00000054720	Lrrc8c
Lrrc8d	ENSG00000171492	ENSMUSG00000046079	Lrrc8d
Lrrcc1	ENSG00000133739	ENSMUSG00000027550	Lrrcc1
Lrrfip1	ENSG00000124831	ENSMUSG00000026305	Lrrfip1
Lrrk2	ENSG00000188906	ENSMUSG00000036273	Lrrk2
Lrrn1	ENSG00000175928	ENSMUSG00000034648	Lrrn1
Lrrtm3	ENSG00000198739	ENSMUSG00000042846	Lrrtm3
Lrrtm4	ENSG00000176204	ENSMUSG00000052581	Lrrtm4
Lrsam1	ENSG00000148356	ENSMUSG00000026792	Lrsam1
Lsamp	ENSG00000185565	ENSMUSG00000061080	Lsamp
Lsm5	ENSG00000106355	ENSMUSG00000091625	Lsm5
Lsm6	ENSG00000164167	ENSMUSG00000031683	Lsm6
Lsm7	ENSG00000130332	ENSMUSG00000035215	Lsm7
Lsm8	ENSG00000128534	ENSMUSG00000044155	Lsm8
Lsr	ENSG00000105699	ENSMUSG00000001247	Lsr
Lss	ENSG00000160285	ENSMUSG00000033105	Lss
Ltbp1	ENSG00000049323	ENSMUSG00000001870	Ltbp1
Ltv1	ENSG00000135521	ENSMUSG00000019814	Ltv1
Luc7l3	ENSG00000108848	ENSMUSG00000020863	Luc7l3
Lum	ENSG00000139329	ENSMUSG00000036446	Lum
Luzp1	ENSG00000169641	ENSMUSG00000001089	Luzp1
Luzp2	ENSG00000187398	ENSMUSG00000063297	Luzp2
Ly75	ENSG00000054219	ENSMUSG00000026980	Ly75
Ly86	ENSG00000112799	ENSMUSG00000021423	Ly86
Lyar	ENSG00000145220	ENSMUSG00000067367	Lyar
Lyn	ENSG00000254087	ENSMUSG00000042228	Lyn
Lypd1	ENSG00000150551	ENSMUSG00000026344	Lypd1
Lypd6	ENSG00000187123	ENSMUSG00000050447	Lypd6
Lypd6b	ENSG00000150556	ENSMUSG00000026765	Lypd6b
Lyrm4	ENSG00000214113	ENSMUSG00000046573	Lyrm4
Lyrm7	ENSG00000186687	ENSMUSG00000020268	Lyrm7
Lztfl1	ENSG00000163818	ENSMUSG00000025245	Lztfl1
Lzts1	ENSG00000061337	ENSMUSG00000036306	Lzts1
M6pr	ENSG00000003056	ENSMUSG00000007458	M6pr
Mab21l1	ENSG00000180660	ENSMUSG00000056947	Mab21l1
Mab21l2	ENSG00000181541	ENSMUSG00000057777	Mab21l2
Macrod1	ENSG00000133315	ENSMUSG00000036278	Macrod1
Macrod2	ENSG00000172264	ENSMUSG00000068205	Macrod2
Mad2l1	ENSG00000164109	ENSMUSG00000029910	Mad2l1
Mageb18	ENSG00000176774	ENSMUSG00000067649	Mageb18
Maged1	ENSG00000179222	ENSMUSG00000025151	Maged1
Maged2	ENSG00000102316	ENSMUSG00000025268	Maged2
Magel2	ENSG00000254585	ENSMUSG00000056972	Magel2
Magi1	ENSG00000151276	ENSMUSG00000045095	Magi1
Magi2	ENSG00000187391	ENSMUSG00000040003	Magi2
Magi3	ENSG00000081026	ENSMUSG00000052539	Magi3
Magoh	ENSG00000162385	ENSMUSG00000028609	Magoh
Mak16	ENSG00000198042	ENSMUSG00000031578	Mak16
Malat1	NA	ENSMUSG00000092341	Malat1
Malsu1	ENSG00000156928	ENSMUSG00000029815	Malsu1
Malt1	ENSG00000172175	ENSMUSG00000032688	Malt1
Mamdc2	ENSG00000165072	ENSMUSG00000033207	Mamdc2
Maml2	ENSG00000184384	ENSMUSG00000031925	Maml2
Maml3	ENSG00000196782	ENSMUSG00000061143	Maml3
Man1a	ENSG00000111885	ENSMUSG00000003746	Man1a
Man1a2	ENSG00000198162	ENSMUSG00000008763	Man1a2
Man1c1	ENSG00000117643	ENSMUSG00000037306	Man1c1
Man2a1	ENSG00000112893	ENSMUSG00000024085	Man2a1
Manea	ENSG00000172469	ENSMUSG00000040520	Manea
Manf	ENSG00000145050	ENSMUSG00000032575	Manf
Maoa	ENSG00000189221	ENSMUSG00000025037	Maoa
Map1b	ENSG00000131711	ENSMUSG00000052727	Map1b
Map2	ENSG00000078018	ENSMUSG00000015222	Map2
Map3k5	ENSG00000197442	ENSMUSG00000071369	Map3k5
Map7d2	ENSG00000184368	ENSMUSG00000041020	Map7d2
Mapk10	ENSG00000109339	ENSMUSG00000046709	Mapk10
Mapk12	ENSG00000188130	ENSMUSG00000022610	Mapk12
Mapk1ip1l	ENSG00000168175	ENSMUSG00000021840	Mapk1ip1l
Mapk4	ENSG00000141639	ENSMUSG00000024558	Mapk4
Mapre2	ENSG00000166974	ENSMUSG00000024277	Mapre2
Marcks	ENSG00000277443	ENSMUSG00000069662	Marcks
Marcksl1	ENSG00000175130	ENSMUSG00000047945	Marcksl1
Marveld1	ENSG00000155254	ENSMUSG00000044345	Marveld1
Mast4	ENSG00000069020	ENSMUSG00000034751	Mast4
Mastl	ENSG00000120539	ENSMUSG00000026779	Mastl
Mat2a	ENSG00000168906	ENSMUSG00000053907	Mat2a
Matn1	ENSG00000162510	ENSMUSG00000040533	Matn1
Matn4	ENSG00000124159	ENSMUSG00000016995	Matn4
Matr3	ENSG00000015479	ENSMUSG00000037236	Matr3
Mb21d2	ENSG00000180611	ENSMUSG00000051065	Mb21d2
Mbd2	ENSG00000134046	ENSMUSG00000024513	Mbd2
Mbd3	ENSG00000071655	ENSMUSG00000035478	Mbd3
Mbd4	ENSG00000129071	ENSMUSG00000030322	Mbd4
Mblac2	ENSG00000176055	ENSMUSG00000051098	Mblac2
Mbnl1	ENSG00000152601	ENSMUSG00000027763	Mbnl1
Mbnl2	ENSG00000139793	ENSMUSG00000022139	Mbnl2
Mbnl3	ENSG00000076770	ENSMUSG00000036109	Mbnl3
Mboat1	ENSG00000172197	ENSMUSG00000038732	Mboat1
Mboat2	ENSG00000143797	ENSMUSG00000020646	Mboat2
Mbtd1	ENSG00000011258	ENSMUSG00000059474	Mbtd1
Mcc	ENSG00000171444	ENSMUSG00000071856	Mcc
Mcfd2	ENSG00000180398	ENSMUSG00000024150	Mcfd2
Mcl1	ENSG00000143384	ENSMUSG00000038612	Mcl1
Mcm10	ENSG00000065328	ENSMUSG00000026669	Mcm10
Mcm2	ENSG00000073111	ENSMUSG00000002870	Mcm2
